sample_id	batch_id	green_idat	red_idat
8033684105-B	GSAv2	203533880074_R09C01_Grn.idat.gz	203533880074_R09C01_Red.idat.gz
8033684076-B	GSAv2	203533880074_R09C02_Grn.idat.gz	203533880074_R09C02_Red.idat.gz
8033684170-B	GSAv2	203533880074_R10C01_Grn.idat.gz	203533880074_R10C01_Red.idat.gz
8033684102-B	GSAv2	203533880074_R10C02_Grn.idat.gz	203533880074_R10C02_Red.idat.gz
8033684145-B	GSAv2	203533880074_R11C01_Grn.idat.gz	203533880074_R11C01_Red.idat.gz
8033684112-B	GSAv2	203533880074_R11C02_Grn.idat.gz	203533880074_R11C02_Red.idat.gz
8033684113-B	GSAv2	203533880074_R12C01_Grn.idat.gz	203533880074_R12C01_Red.idat.gz
09C79822-A	GSAv2	203533880074_R12C02_Grn.idat.gz	203533880074_R12C02_Red.idat.gz
NA12878-H	GSAv2	203533880088_R01C01_Grn.idat.gz	203533880088_R01C01_Red.idat.gz
8037702308-F	GSAv2	203533880088_R02C01_Grn.idat.gz	203533880088_R02C01_Red.idat.gz
8037737797-F	GSAv2	203533880088_R03C01_Grn.idat.gz	203533880088_R03C01_Red.idat.gz
8033673352-F	GSAv2	203533880088_R04C01_Grn.idat.gz	203533880088_R04C01_Red.idat.gz
8035158042-F	GSAv2	203533880088_R05C01_Grn.idat.gz	203533880088_R05C01_Red.idat.gz
8033684077-B	GSAv2	203533880088_R06C01_Grn.idat.gz	203533880088_R06C01_Red.idat.gz
8033684080-B	GSAv2	203533880088_R07C01_Grn.idat.gz	203533880088_R07C01_Red.idat.gz
8033684095-B	GSAv2	203533880088_R08C01_Grn.idat.gz	203533880088_R08C01_Red.idat.gz
8033684116-B	GSAv2	203533880088_R09C01_Grn.idat.gz	203533880088_R09C01_Red.idat.gz
8033684133-B	GSAv2	203533880088_R10C01_Grn.idat.gz	203533880088_R10C01_Red.idat.gz
8033684169-B	GSAv2	203533880088_R11C01_Grn.idat.gz	203533880088_R11C01_Red.idat.gz
09C79822-B	GSAv2	203533880088_R12C02_Grn.idat.gz	203533880088_R12C02_Red.idat.gz
control-NA12878	GSAv2	203533890011_R01C01_Grn.idat.gz	203533890011_R01C01_Red.idat.gz
8035201502-C	GSAv2	203533890011_R01C02_Grn.idat.gz	203533890011_R01C02_Red.idat.gz
8033684150-C	GSAv2	203533890011_R02C01_Grn.idat.gz	203533890011_R02C01_Red.idat.gz
8037706607-C	GSAv2	203533890011_R02C02_Grn.idat.gz	203533890011_R02C02_Red.idat.gz
8037702308-G	GSAv2	203533890011_R03C01_Grn.idat.gz	203533890011_R03C01_Red.idat.gz
